,AverageMInFile,ExternalRiskEstimate,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,MSinceMostRecentTradeOpen,MSinceOldestTradeOpen,MaxDelq2PublicRecLast12M,MaxDelqEver,NetFractionInstallBurden,NetFractionRevolvingBurden,NumBank2NatlTradesWHighUtilization,NumInqLast6M,NumInqLast6Mexcl7days,NumInstallTradesWBalance,NumRevolvingTradesWBalance,NumSatisfactoryTrades,NumTotalTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,NumTradesOpeninLast12M,PercentInstallTrades,PercentTradesNeverDelq,PercentTradesWBalance,label
8516,86,63,35,-7,31,-8,6,6,40,83,2,2,2,1,6,13,14,1,1,0,21,93,88,0
1807,99,57,0,0,13,191,0,2,66,27,0,0,0,2,4,20,23,1,1,0,26,65,50,0
8573,81,59,3,8,2,246,4,6,85,56,3,0,0,3,7,34,41,0,0,3,46,94,67,0
5461,54,62,-8,1,1,166,6,3,93,80,3,3,3,2,5,38,44,2,2,4,32,95,78,0
3036,55,69,7,0,3,196,4,5,47,27,0,1,1,2,2,8,28,1,0,2,45,73,67,0
7782,32,73,-7,8,7,44,7,8,-8,55,0,0,0,1,3,10,10,0,0,1,30,100,67,1
4412,47,65,-8,0,14,71,6,6,62,61,2,1,1,3,6,23,23,0,0,0,30,96,75,0
872,75,88,-7,2,3,279,7,8,41,6,0,2,2,3,3,28,29,0,0,2,24,100,40,0
9001,91,74,22,0,8,295,6,6,73,17,0,0,0,2,4,23,24,0,0,4,29,79,75,1
8174,86,80,49,0,1,306,6,6,-8,1,1,2,2,1,5,33,37,0,0,4,27,97,35,1
5098,72,84,-7,18,3,172,7,8,98,1,0,0,0,3,3,39,42,0,0,2,43,100,55,1
293,114,88,-7,0,7,369,7,8,91,1,0,0,0,2,2,31,33,0,0,2,33,100,36,1
10369,104,85,-7,5,13,278,7,8,69,42,0,1,1,3,1,23,23,0,0,0,35,100,44,1
7461,71,71,-7,0,1,158,7,8,94,39,2,2,2,3,5,29,30,0,0,6,30,100,67,0
6752,63,61,11,0,5,162,4,2,85,46,0,4,4,2,1,24,32,7,2,1,44,75,43,0
5653,147,74,-7,0,7,445,7,8,-8,36,2,1,1,1,10,15,16,0,0,1,13,100,92,1
9924,56,56,3,0,35,79,4,5,-8,54,0,0,0,1,1,6,9,3,0,0,33,67,100,0
9555,65,61,24,-7,2,165,6,6,99,68,3,3,3,3,14,24,27,0,0,6,26,93,85,1
3908,90,63,3,2,3,298,3,5,43,15,1,6,6,4,16,30,25,2,0,3,21,67,80,0
2170,75,80,-7,0,3,206,7,8,88,36,1,1,1,3,4,19,20,0,0,4,25,100,70,0
8285,77,61,20,-7,4,159,6,6,63,76,3,2,2,2,8,30,33,0,0,1,45,76,91,0
9203,74,84,-7,0,13,158,7,8,82,16,0,1,1,3,2,14,16,0,0,0,63,100,71,1
3010,12,72,-7,0,4,255,7,8,85,4,0,3,3,2,1,5,25,0,0,4,60,100,75,0
7690,116,80,-7,21,21,263,7,8,-8,48,0,0,0,2,3,25,25,0,0,0,64,100,71,0
5679,64,71,36,0,2,145,6,2,72,24,0,0,0,5,3,15,17,1,1,3,53,88,67,0
4860,99,84,28,-8,3,179,6,6,97,18,1,0,0,2,3,15,15,0,0,2,33,93,63,1
1658,48,55,-7,0,2,77,7,8,190,94,-8,2,2,4,2,5,8,2,2,2,67,100,100,0
3992,83,79,-7,0,1,79,7,8,34,36,0,2,2,2,2,26,1,0,0,1,37,100,50,1
9280,74,60,4,0,1,349,2,4,29,59,1,3,3,3,5,16,19,1,1,4,58,95,73,1
5404,78,56,1,-7,7,201,4,6,-8,68,1,4,4,1,10,23,31,0,0,4,29,55,73,0
10281,51,62,10,7,4,123,3,5,93,97,2,0,0,4,2,13,16,2,0,2,40,80,100,0
1592,70,75,-7,0,6,187,7,8,81,20,1,0,0,3,6,32,32,0,0,5,28,100,47,1
6882,115,59,1,-8,5,320,0,2,35,16,0,0,0,2,6,13,15,1,1,1,20,73,80,1
8541,17,66,-7,4,4,-8,7,8,196,97,1,4,4,2,1,4,5,0,0,2,80,100,75,0
3684,192,73,24,5,37,412,6,6,-8,38,1,0,0,1,11,23,55,0,0,0,26,87,100,1
8726,51,55,10,0,1,164,2,4,-8,87,2,1,1,1,3,3,6,2,1,2,17,67,100,0
5927,44,63,22,-7,12,74,6,5,83,54,4,1,1,1,11,21,22,1,0,0,14,95,80,1
6848,89,73,36,2,2,339,6,3,72,23,1,2,2,4,6,33,38,2,1,5,32,92,77,1
2633,67,79,-7,-7,2,111,7,8,85,1,0,1,1,2,9,40,5,0,0,1,12,100,44,1
8474,20,67,-7,-7,4,-8,6,8,89,10,1,1,1,2,2,17,18,1,1,8,17,100,29,0
9241,105,83,-7,1,12,350,7,8,63,12,0,3,3,3,5,36,40,0,0,0,60,100,80,1
5783,80,57,2,0,25,184,3,5,-8,39,0,1,1,1,2,11,16,4,0,0,25,63,60,0
6530,101,75,28,0,5,260,6,4,99,12,0,1,1,2,2,9,12,3,1,2,33,58,44,1
2439,54,72,64,-7,2,162,6,6,57,40,1,1,1,2,10,15,14,0,0,8,21,95,92,0
9999,85,74,-7,0,6,215,7,8,-8,37,1,0,0,2,6,29,30,0,0,2,30,100,89,1
9606,46,62,0,0,2,175,4,6,81,57,1,2,2,5,3,18,20,0,0,2,75,95,89,0
1554,46,75,-7,0,4,207,7,8,66,62,0,4,3,2,6,17,17,0,0,4,24,100,67,0
4233,52,72,19,0,14,149,6,6,91,28,0,0,0,4,5,22,23,1,1,0,68,95,100,0
4386,44,64,11,0,5,88,0,2,63,43,0,0,0,2,3,16,18,1,1,2,44,83,56,0
5673,123,82,-7,0,21,274,7,8,-8,20,1,0,0,1,4,11,11,0,0,0,9,100,56,0
3008,80,55,1,2,24,161,4,3,36,86,2,1,1,2,3,14,21,1,1,0,31,69,100,0
3900,67,66,0,3,13,195,4,6,83,23,0,1,1,3,3,19,20,0,0,0,42,95,88,0
6358,63,64,72,0,2,144,5,3,80,60,1,6,6,5,2,18,21,2,2,3,50,85,78,0
8524,68,77,-7,3,3,-8,7,8,80,31,1,1,1,2,5,32,39,0,0,2,31,100,70,0
4411,97,61,6,0,7,457,4,5,77,55,5,2,2,2,12,27,28,1,0,1,21,89,78,0
38,37,65,72,0,10,116,6,2,-8,52,2,2,2,1,3,14,15,1,1,1,13,93,56,0
9371,112,79,-7,2,11,267,7,8,-8,41,1,1,1,-8,3,19,19,0,0,1,32,100,60,1
10167,96,90,-7,-8,4,178,7,8,-8,51,1,0,0,-8,2,9,9,0,0,1,0,100,29,1
5043,107,70,6,0,26,341,0,2,-8,9,0,2,1,1,3,17,20,3,3,0,10,75,40,0
7530,51,68,7,-7,5,205,4,6,89,31,1,0,0,4,5,30,31,0,0,4,23,97,45,0
9154,13,59,-7,-7,1,27,7,8,71,49,1,1,1,2,8,14,15,0,0,8,40,100,91,0
4504,52,68,64,-7,2,132,6,6,39,24,0,1,1,3,4,23,24,3,3,6,54,88,70,1
9097,71,58,2,-7,5,134,4,6,54,28,0,2,2,1,6,24,26,1,1,2,42,92,78,0
939,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
1190,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
3174,27,56,1,4,4,58,4,6,37,29,2,1,1,2,10,30,33,0,0,6,15,97,50,0
876,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
4285,109,90,-7,0,6,423,7,8,-8,13,0,1,1,-8,5,15,15,0,0,3,0,100,36,1
5512,125,84,-7,5,12,260,7,8,-8,29,0,1,1,1,2,15,15,0,0,0,40,100,60,1
6675,98,59,3,-7,3,117,4,6,97,4,0,1,1,2,2,14,15,1,1,2,53,87,100,0
1167,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
6697,85,70,26,-7,11,153,6,5,74,68,2,0,0,2,2,9,10,1,0,1,50,80,67,0
310,17,62,-7,0,12,21,7,8,83,120,1,4,3,2,1,4,4,0,0,0,50,100,75,1
1867,71,82,-7,0,0,172,7,8,81,4,0,1,1,3,4,23,24,0,0,4,54,100,70,1
1995,19,54,-7,0,6,39,0,8,86,92,2,2,2,3,2,6,15,7,7,1,75,100,100,0
1820,62,62,3,0,4,96,4,2,-8,6,0,0,0,1,1,8,9,1,1,1,22,56,33,0
2925,82,70,-7,-8,42,156,6,8,-8,-8,-8,0,0,-8,1,4,10,1,1,0,0,100,100,0
6460,44,64,74,0,3,120,6,2,-8,44,1,2,2,-8,2,2,3,1,1,2,0,67,100,0
9886,75,64,3,0,3,181,4,6,60,21,1,7,7,2,3,35,37,0,0,3,32,92,55,0
7046,60,73,-7,0,2,152,7,8,68,61,1,3,3,3,4,21,22,0,0,1,64,100,78,1
793,100,68,-7,16,16,332,7,8,79,52,0,0,0,3,3,22,24,0,0,0,38,100,64,1
6815,76,66,12,0,12,162,6,5,73,55,3,6,5,2,5,35,43,1,0,0,74,93,70,1
6484,88,69,-7,0,2,187,7,8,-8,86,3,2,2,1,4,11,15,0,0,2,53,100,100,0
8135,124,80,68,4,3,237,6,6,-8,20,0,1,1,2,3,11,11,0,0,2,18,91,63,1
67,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
6649,78,63,63,-7,4,203,6,6,88,80,2,5,5,4,3,40,42,0,0,4,55,98,70,0
1858,31,59,11,0,11,45,3,4,-8,14,0,0,0,1,6,10,15,2,1,1,20,73,88,0
9340,117,82,-7,0,32,300,7,8,43,41,1,1,1,2,3,22,23,0,0,0,22,100,63,1
958,125,66,11,4,3,214,4,2,-8,14,0,2,2,1,3,10,13,1,1,2,23,54,67,0
3195,152,92,-7,-8,25,233,7,8,-8,0,0,0,0,1,2,35,36,0,0,0,11,100,38,1
7951,101,69,-7,2,2,271,7,8,35,32,3,4,4,2,9,22,23,0,0,1,17,100,69,1
7594,76,86,-7,-7,2,189,7,8,100,5,0,0,0,3,4,19,24,0,0,3,58,100,78,1
5296,42,54,2,0,7,120,4,6,89,77,1,0,0,4,2,12,12,0,0,4,50,67,100,0
6686,53,79,-7,-7,3,190,7,8,-8,55,1,0,0,-8,2,27,28,0,0,2,4,100,50,0
9293,117,88,-7,20,13,272,7,8,-8,0,0,0,0,1,0,21,21,0,0,0,24,100,14,1
3787,71,82,-7,6,7,289,7,8,-8,19,0,0,0,1,3,20,14,0,0,3,45,100,57,1
2093,204,85,-7,0,9,419,7,8,-8,6,1,0,0,1,3,11,11,0,0,1,27,100,67,1
6488,68,85,-8,0,3,346,6,6,64,1,0,3,3,3,1,35,39,0,0,7,36,97,25,1
5613,114,88,-7,0,12,191,7,8,-8,10,0,0,0,-8,2,22,22,0,0,0,0,100,14,1
6826,106,86,-7,-8,37,170,7,8,-8,18,0,0,0,1,2,12,12,0,0,0,25,100,60,1
6881,78,84,-7,15,1,445,7,8,-8,7,0,0,0,2,4,27,29,0,0,3,17,100,43,1
4472,31,57,5,-7,11,92,4,6,-8,87,2,1,1,1,7,12,12,0,0,2,17,92,80,0
624,97,84,45,-7,32,184,6,6,-8,0,-8,0,0,1,0,25,25,0,0,0,32,96,33,0
3285,57,72,-7,1,7,150,7,8,56,30,3,3,3,2,8,36,40,0,0,7,8,100,56,1
9609,52,68,10,7,13,89,4,5,71,0,0,0,0,4,0,10,11,1,0,0,82,73,67,1
7306,161,91,-7,0,18,473,7,8,-8,3,0,0,0,-8,3,20,21,0,0,0,33,100,38,1
126,69,74,-7,-7,9,159,6,7,67,61,2,0,0,4,3,26,27,0,0,2,48,100,78,0
4552,148,84,-7,-7,41,263,7,8,-8,15,0,2,2,-8,3,5,5,0,0,0,20,100,75,0
8613,124,60,20,1,7,410,6,6,56,70,3,2,2,4,10,29,32,0,0,1,25,97,83,0
2724,88,70,-7,-7,8,291,7,8,67,100,4,0,0,2,5,14,8,0,0,1,29,100,100,0
10036,99,76,-7,-7,6,229,7,8,79,76,1,1,0,3,2,22,22,0,0,2,59,100,67,1
889,113,74,23,16,17,182,6,5,88,37,0,0,0,2,4,12,13,1,0,0,38,85,86,1
7394,80,56,1,0,12,150,4,6,-8,85,4,0,0,-8,8,22,23,0,0,0,13,83,100,0
4728,17,68,-7,3,10,32,7,8,92,13,-8,4,4,2,1,4,4,0,0,1,50,100,75,1
2670,69,58,-8,-7,3,120,6,6,86,92,1,6,6,3,5,11,29,1,1,2,45,91,100,0
5934,63,73,20,-7,4,131,6,5,17,25,-8,1,1,4,1,19,26,1,0,2,62,85,100,0
9156,50,62,10,-7,8,121,4,6,-8,54,3,0,0,1,4,14,14,0,0,1,29,86,83,0
4243,130,75,13,0,13,365,6,6,-8,45,0,1,1,1,4,19,19,0,0,0,21,89,50,1
85,99,62,16,0,19,151,6,6,75,40,0,0,0,2,1,5,6,1,1,0,80,80,100,0
7116,85,61,-8,0,2,254,6,6,73,86,5,3,3,2,9,36,40,0,0,5,38,95,92,0
5894,116,60,6,-7,6,146,0,2,-8,83,1,1,1,1,1,6,11,3,1,1,55,55,75,0
6569,84,65,54,0,13,144,6,6,-8,78,2,0,0,1,7,9,11,0,0,0,18,73,89,0
8532,97,76,35,2,3,400,6,6,96,2,0,1,1,2,4,17,17,1,1,2,18,94,75,1
5708,52,66,-8,0,7,109,6,6,-8,-8,-8,4,4,1,-8,3,5,2,2,1,40,80,100,0
9521,47,55,0,0,8,132,4,6,89,76,1,0,0,4,2,24,24,0,0,1,58,75,100,0
6907,80,73,-7,15,13,354,7,8,-8,36,2,0,0,1,10,25,25,0,0,0,8,100,61,1
1012,98,75,13,0,9,336,6,5,91,16,0,0,0,3,2,22,23,1,0,1,39,91,83,0
10196,93,73,14,1,2,233,6,4,75,2,0,2,2,4,1,29,33,1,1,3,33,94,40,1
6859,44,72,-7,3,1,203,7,8,77,26,0,1,1,4,7,33,34,0,0,6,53,100,79,1
8616,80,84,-7,17,18,276,7,8,-8,12,0,0,0,2,3,15,15,0,0,0,33,100,56,1
8293,138,87,-7,8,8,264,7,8,82,4,0,0,0,2,1,28,60,0,0,2,17,100,57,1
7087,76,63,9,0,13,211,2,2,-8,1,0,7,7,-8,1,15,19,2,2,0,5,74,14,1
3425,40,65,-7,0,6,64,7,8,-8,95,3,1,1,2,3,14,14,0,0,1,36,100,86,0
2699,252,88,-7,-7,43,57,7,8,-8,15,0,1,1,-8,1,4,3,0,0,0,25,100,33,0
4916,108,64,4,2,11,230,4,6,40,56,2,1,1,8,7,35,39,0,0,1,47,92,83,1
4882,135,86,-7,10,3,329,7,8,77,0,0,0,0,2,2,15,15,0,0,1,20,100,67,1
2873,86,61,6,1,9,92,4,6,86,65,3,2,2,3,5,25,30,0,0,1,44,96,100,0
8087,67,56,0,12,12,201,0,5,77,16,1,0,0,4,3,25,26,2,1,0,31,85,58,0
4625,64,63,3,0,3,175,4,5,-8,11,0,4,4,1,5,15,17,1,0,3,24,65,75,0
740,98,85,33,3,7,241,6,5,97,4,0,1,1,3,1,22,23,1,0,4,39,96,45,0
1436,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
935,89,83,34,3,13,176,6,5,-8,0,0,2,2,1,2,25,30,1,0,0,23,93,30,0
784,41,66,-7,4,4,75,7,8,79,54,3,2,2,4,6,24,25,0,0,2,32,100,71,1
4431,54,66,19,0,0,95,6,6,-8,53,2,3,3,1,8,14,16,0,0,3,19,94,69,0
9888,101,65,4,0,4,385,4,6,85,16,1,0,0,2,9,36,39,0,0,3,21,84,52,0
4336,133,71,22,0,9,387,6,5,51,22,1,0,0,6,8,52,55,1,0,1,49,93,67,1
4210,94,56,-7,0,2,266,7,8,6,76,7,2,2,2,14,29,30,0,0,1,17,100,67,0
7923,19,64,-7,0,1,45,7,8,93,77,2,1,1,2,6,10,11,0,0,3,18,100,100,0
3101,100,77,-7,1,18,261,6,8,-8,2,0,2,2,-8,3,32,42,1,1,0,38,100,60,1
6427,44,63,58,0,9,97,6,2,-8,69,1,4,4,1,1,9,17,7,6,4,29,71,50,0
8841,112,65,21,-8,14,300,6,2,76,12,0,0,0,2,2,8,11,3,2,0,45,64,57,1
9046,95,82,13,0,6,238,6,6,69,0,0,0,0,3,2,52,53,0,0,2,49,94,38,1
8016,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
10349,87,82,-7,1,10,139,7,8,42,12,0,2,2,2,1,21,22,0,0,2,27,100,44,1
4608,46,64,11,-7,7,75,4,6,92,45,1,1,1,3,4,12,12,0,0,1,42,75,88,1
8332,157,89,-7,9,47,243,7,8,-8,1,0,0,0,-8,1,4,4,0,0,0,25,100,50,1
10401,55,85,-7,2,13,89,7,8,80,13,0,1,1,2,1,13,14,0,0,0,29,100,75,1
8496,91,57,2,-7,6,-8,4,5,29,91,2,0,0,1,4,10,16,1,0,1,31,47,86,0
9831,116,65,21,0,7,273,6,6,-8,86,2,1,1,2,5,18,19,0,0,2,47,84,78,0
991,102,72,14,17,18,428,6,6,53,22,2,0,0,3,2,26,26,0,0,0,19,96,33,1
6945,87,68,8,5,8,269,4,6,81,39,1,0,0,4,6,26,27,0,0,3,48,85,83,1
7805,89,87,-7,5,5,169,7,8,86,4,0,0,0,2,4,15,15,0,0,1,20,100,50,1
1997,73,71,15,0,24,135,6,4,-8,26,1,0,0,1,4,21,23,2,1,0,4,87,55,0
9736,27,80,-7,1,7,49,7,8,82,0,0,1,1,1,0,7,7,0,0,1,71,100,33,1
6177,65,56,2,0,26,168,4,6,42,126,1,2,2,3,2,7,7,0,0,0,57,57,100,0
3286,79,80,-7,9,3,306,7,8,-8,19,2,0,0,1,4,16,19,0,0,3,13,100,50,0
8421,53,57,-8,0,3,107,6,3,36,89,2,7,7,3,5,25,26,1,1,4,54,96,82,0
5318,127,79,53,0,16,409,6,4,-8,49,0,0,0,-8,2,16,17,1,1,0,29,94,33,0
6166,106,86,-7,-8,39,274,7,8,12,0,0,0,0,1,1,8,8,0,0,0,50,100,67,0
9175,46,70,-7,0,1,84,5,7,91,86,4,2,2,1,7,16,23,0,0,2,11,94,80,0
747,106,76,11,9,2,397,6,6,-8,17,0,0,0,1,7,22,23,0,0,1,13,91,50,0
1037,47,73,-7,-7,15,176,7,8,-8,62,4,0,0,-8,7,14,14,0,0,0,7,100,100,0
7168,77,77,-7,0,13,183,7,8,84,37,0,2,2,1,1,16,16,0,0,0,19,100,33,0
7070,79,72,-7,-8,16,348,7,8,89,39,2,0,0,6,4,36,36,0,0,0,31,100,67,1
8997,106,89,-7,0,32,255,7,8,-8,2,-8,1,1,1,2,9,9,0,0,0,22,100,100,1
8276,53,65,11,-7,2,123,4,2,-8,15,0,0,0,-8,5,29,36,4,1,2,33,83,50,0
7665,45,65,0,-7,4,142,4,6,59,19,1,3,3,3,4,16,16,0,0,4,25,94,70,0
37,57,70,-8,0,25,127,6,6,-8,51,1,0,0,-8,9,23,24,0,0,0,13,96,67,0
7928,83,71,13,0,20,208,6,6,65,10,1,1,1,2,3,25,26,0,0,0,35,85,45,1
10310,18,71,-7,0,3,63,7,8,98,8,0,3,3,2,1,9,9,0,0,3,22,100,86,0
9596,74,75,-7,2,33,136,7,8,165,83,1,1,1,9,1,17,25,0,0,0,65,100,77,0
9367,71,81,42,1,13,158,6,6,86,9,0,1,1,5,3,34,37,0,0,0,42,97,47,0
2058,49,57,36,0,5,198,6,2,61,94,3,1,1,2,4,8,13,2,0,3,38,77,100,0
1767,76,73,-7,0,1,259,7,8,100,40,0,1,1,2,5,27,30,1,1,7,24,100,78,1
9816,36,58,2,0,8,71,4,6,82,93,1,3,3,2,1,9,9,0,0,1,67,78,100,0
10045,81,62,17,-7,6,144,6,2,59,36,0,0,0,1,2,4,9,5,3,1,22,33,75,0
705,75,57,8,1,2,321,4,6,-8,102,5,1,1,1,6,11,12,0,0,1,17,75,100,0
9083,87,77,-7,-7,5,195,7,8,-8,9,0,1,1,2,5,40,49,0,0,2,36,100,78,1
1761,92,87,-7,0,21,254,7,8,-8,0,0,1,1,2,2,26,26,0,0,0,23,100,40,1
3810,99,56,0,1,7,219,4,6,42,26,0,4,4,3,4,36,40,1,1,2,38,97,39,1
8814,52,77,-7,6,4,119,7,8,86,26,0,0,0,8,4,30,34,0,0,4,73,100,92,1
8271,43,72,-7,-7,4,79,7,8,-8,84,1,3,3,1,3,13,13,0,0,2,54,100,80,0
8413,34,54,3,0,11,51,4,2,88,86,0,1,1,1,3,7,9,2,2,1,33,63,100,0
610,51,79,-8,-7,1,120,6,6,96,27,0,5,5,3,2,28,29,0,0,3,45,97,71,1
3077,14,62,-7,0,2,-8,7,8,-8,61,2,1,1,-8,4,3,0,0,0,3,0,100,100,0
2757,105,85,-7,-7,5,122,7,8,-8,11,0,4,4,1,2,18,28,0,0,2,44,100,75,0
5363,31,56,43,-7,6,70,6,6,-8,71,4,2,2,1,8,28,29,0,0,7,25,96,56,0
4664,43,59,68,1,4,129,6,5,92,71,3,6,6,3,9,15,16,1,0,4,38,94,92,0
135,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1227,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
799,79,89,62,20,6,203,6,6,90,8,0,0,0,2,1,28,34,0,0,2,53,97,33,1
565,63,73,-7,-7,18,136,7,8,-8,38,3,0,0,1,14,36,36,0,0,0,19,100,79,0
3776,53,74,62,4,4,198,6,2,-8,3,0,2,2,1,2,11,12,1,1,1,33,92,43,1
5757,16,74,-7,0,3,39,7,8,99,23,0,2,2,2,2,6,6,0,0,3,33,100,80,0
6229,92,90,-7,-8,27,230,7,8,57,1,0,0,0,3,1,13,14,0,0,0,54,100,67,1
5662,68,58,19,0,15,162,0,2,-8,0,0,1,1,1,0,7,8,2,2,0,63,75,33,0
5552,99,90,-7,6,6,374,7,8,95,5,0,0,0,2,1,19,19,0,0,2,74,100,60,1
5012,54,84,-7,6,3,145,7,8,60,13,0,0,0,3,1,15,15,0,0,1,27,100,40,1
4185,77,72,5,0,5,232,4,6,85,20,0,0,0,2,2,21,22,0,0,3,32,91,36,0
8085,86,82,39,0,2,205,6,6,75,2,0,2,2,1,7,30,31,0,0,4,19,97,44,1
7850,77,78,-7,6,18,207,7,8,-8,21,1,0,0,1,2,9,9,0,0,0,44,100,75,1
3757,322,84,-7,3,227,387,7,8,-8,22,0,1,1,-8,1,4,24,0,0,0,25,100,100,1
5111,101,91,-7,-8,4,303,7,8,97,1,0,0,0,2,2,11,12,0,0,1,36,100,57,1
4827,62,71,40,0,3,208,6,2,97,27,0,1,1,3,4,28,29,1,1,6,34,97,50,0
